hospital,C_sec_uncomp_rate,vbac,births_per_bed,HPSA_SHORTAGE,HPSA_SHORTAGE_0_1,TOC_acute_div_by_beds,female_patients_percent,hispanic_percent,white_percent,Admt_Newborn,Payer_Medi_Cal_percent,Payer_Priv_Coverage_percent,Payer_Self_Pay_percent,nicu_div_by_births,BirthDefects_div_by_births,Dx_preg_percent,PCT200POV
Colusa Regional Medical Center,70,0,0.268456376,1.43,1,1.986577181,59.40594059,32,79,20,35,17,3,0,0,0.195945946,38.55
San Ramon Regional Medical Center,36.1,3.2,6.305220884,0,0,46.76305221,59.76636317,7,99,785,3,62,0,0.146496815,0.006369427,0.141360357,6.61
Sutter Delta Medical Center,25.3,6.7,7.084337349,0,0,63.75903614,57.58377425,35,98,881,38,23,2,0,0.001133787,0.120685311,19.79
Kaiser Foundation Hospital – Antioch,20.8,29.5,9.702005731,0,0,54.57879656,62.46325073,23,99,1689,10,51,1,0.012994684,0.004134672,0.185426291,19.79
Contra Costa Regional Medical Center,24.5,23,12.01719198,0,0,53.48424069,60.45612295,57,96,2101,75,5,3,0.229375298,0.001907487,0.241187185,19.21
John Muir Medical Center – Walnut Creek Campus,24.8,21.3,5.566,0,0,42.218,59.00755621,15,100,2780,12,41,3,0.138699245,0.013295005,0.139561325,11.59
Kaiser Foundation Hospital – Walnut Creek,25.4,19.3,13.06212425,0,0,59.61523046,61.41589351,15,100,3263,5,60,1,0.136851795,0.004602639,0.232755143,11.59
Sutter Coast Hospital,37.1,0,11.92,1.12,1,90.2,57.27659574,7,99,298,26,12,4,0,0,0.13924612,41.82
Barton Memorial Hospital,23.2,2.4,2.883534137,2.78,1,19.48594378,56.41025641,16,99,358,30,32,3,0,0.002785515,0.159521847,35.77
Marshall Medical Center,30.1,8.5,3.975903614,0.74,1,46.00803213,57.27806789,6,100,495,27,19,0,0,0.002020202,0.091305866,22.14
Adventist Medical Center – Reedley,30.9,0.9,53.92,0,0,131.24,72.295032,87,83,1347,79,12,1,0,0,0.423956111,57.13
Saint Agnes Medical Center,34,4.3,7.74718398,4.01,1,60.47309136,59.24914111,42,99,3086,36,18,0,0,0.007431341,0.141231011,42.43
Kaiser Foundation Hospital – Fresno,27,25.8,8.389684814,4.01,1,53.8739255,61.41078838,37,99,1464,5,50,1,0.163251366,0.00068306,0.161578555,42.43
Clovis Community Medical Center,33.6,6.3,22.37675351,0,0,85.03406814,66.51112368,39,99,5583,34,38,1,0,0.000895576,0.274792609,28.08
Community Regional Medical Center – Fresno,26.8,16.3,10.472,0,0,82.814,53.9113115,56,100,5222,54,12,2,0.207983193,0.016806723,0.156374526,61.75
Saint Joseph Hospital – Eureka,29.9,4.2,3.879518072,0,0,58.32128514,50.80558539,3,100,481,30,16,2,0.229813665,0.016563147,0.075333976,41.24
Redwood Memorial Hospital,17.3,24.4,14.28,0,0,65.84,61.13116727,10,98,357,41,23,2,0,0.00280112,0.237545565,39.76
Mad River Community Hospital,20.3,21.4,8.040268456,0,0,32.81879195,63.88548057,6,99,591,47,24,0,0,0.005008347,0.252351738,41.24
Pioneers Memorial Healthcare District,27.4,0,14.59437751,2.72,1,61.08433735,62.82708744,85,93,1800,51,17,6,0.099064392,0,0.254174885,50.45
El Centro Regional Medical Center,45.1,1.7,6.487106017,0,0,32.54441261,58.98925867,89,80,1129,38,16,9,0.089222615,0.001766784,0.209015672,45.55
Northern Inyo Hospital,22.9,0,7.76,0,0,46.44,62.03335981,14,97,194,25,26,1,0,0.020618557,0.177433247,28.23
Ridgecrest Regional Hospital,36.3,1.4,5.919463087,2.81,1,30.68456376,60.35208573,12,99,439,30,27,1,0,0.004535147,0.209098863,30.64
Delano Regional Medical Center,29.4,2.5,3.873925501,13.81,1,17.66762178,62.63630532,86,65,676,64,8,1,0,0.00295858,0.23418748,64.73
San Joaquin Community Hospital,20.9,9.7,12.99799599,0,0,84.30861723,57.56596149,46,99,3234,32,30,1,0,0.004008634,0.160637034,42.32
Bakersfield Memorial Hospital,24.8,9,7.571964956,0,0,44.74593242,59.07463355,48,99,3018,47,21,0,0.125950413,0.009256198,0.179850078,42.32
Mercy Hospital – Bakersfield,28.2,14.3,22.53012048,0,0,114.1526104,60.71805702,46,99,2794,34,43,0,0,0.003565062,0.212074303,18.39
Kern Medical Center,26,25.1,10.59719439,0,0,45.22645291,58.18618917,68,98,2640,78,6,2,0.252647504,0.003025719,0.253633463,42.32
Adventist Medical Center,31.4,11.9,11.12893983,1.32,1,74.71060172,60.128864,57,99,1939,41,17,2,0,0.00669413,0.160849889,38.14
Saint Helena Hospital – Clearlake,20.4,0,6.96,0,0,65.48,58.08202654,10,99,172,46,6,1,0,0,0.119120342,57.98
Sutter Lakeside Hospital,29.2,7.1,12.4,1.31,1,77.48,61.09181141,15,98,308,37,14,1,0,0,0.168301497,38.28
Banner Lassen Medical Center,31.8,2.9,10.64,0,0,49.12,63.43648208,7,99,260,38,29,1,0,0,0.238599349,27.42
Los Angeles Community Hospital,70.2,0,0.409638554,7.66,1,43.4939759,48.92966361,66,92,51,68,3,1,0,0.039215686,0.016805171,58.46
East Los Angeles Doctors Hospital,50.5,0,4.064257028,7.66,1,30.38554217,54.88761108,94,66,505,70,4,2,0,0.001976285,0.149088025,58.46
Memorial Hospital of Gardena,47.9,0,4.968481375,8.68,1,41.69627507,59.57446809,72,78,867,65,5,2,0,0.002306805,0.140736668,30.09
Monterey Park Hospital,42.1,0,12.77911647,0,0,58.86746988,64.71471471,94,70,1591,56,5,18,0,0.001257071,0.232773912,28.57
University of Southern California Verdugo Hills Hospital,41.8,0,2.35530086,0,0,29.98280802,58.08009974,11,99,411,10,34,1,0,0.00486618,0.080657492,26.43
Foothill Presbyterian Hospital – Johnston Memorial,37.1,0,8.618473896,0,0,54.48192771,60.38625977,39,98,1072,26,25,11,0,0.001863933,0.165708389,30.12
San Dimas Community Hospital,37.1,0,3.357429719,0,0,28.26506024,60.91529278,36,97,416,1,38,5,0,0.007177033,0.132708156,20.34
College Medical Center,33.3,0,0.305220884,0,0,18.84337349,41.13732607,45,97,38,77,2,1,0,0.078947368,0.02685422,30.72
Beverly Hospital,42.5,0.8,2.997995992,2.6,1,38.60921844,56.78397176,86,92,749,50,10,4,0.189839572,0.010695187,0.08678501,33.51
West Hills Hospital and Medical Center,39.7,0.9,3.086172345,0,0,38.82164329,57.57732492,14,99,769,18,30,1,0.184415584,0.007792208,0.085071237,11.9
Greater El Monte Community Hospital,34.4,1.9,2.65060241,0,0,30.34538153,54.29099551,89,73,330,67,5,5,0,0.003030303,0.097406035,38.23
Providence Little Company of Mary Medical Center – San Pedro,29.8,1.4,2.320641283,0,0,20.93787575,56.30168235,44,97,577,32,18,6,0,0.006908463,0.121554364,12.57
Pacifica Hospital of the Valley,58.2,3.6,1.0501002,11.13,1,10.17234469,45.65858082,67,90,262,75,5,1,0,0,0.117021277,49.5
Henry Mayo Newhall Hospital,25.5,1.5,5.014028056,0,0,46.54108216,56.48705717,15,100,1247,19,39,1,0,0.003996803,0.116689631,12.15
Northridge Hospital Medical Center,37.8,1.7,2.493116395,0,0,32.88360451,53.12772377,35,99,997,29,27,1,0.392570281,0.019076305,0.086168836,41.6
Pacific Alliance Medical Center,35.8,1.1,13.8875502,0,0,65.82329317,65.18608908,81,87,1729,79,5,1,0,0.003470214,0.229164124,68.27
Providence Saint Joseph Medical Center,31.9,1.1,6.227784731,0,0,47.02628285,58.1636936,28,100,2488,25,33,3,0.050241158,0.007234727,0.139671049,23.74
Glendale Memorial Hospital and Medical Center,39.3,1.4,4.478097622,0,0,25.64956195,57.76618861,33,98,1786,51,12,1,0.193963108,0.004471772,0.186883966,33.96
PIH Hospital – Downey,32,3.7,5.896848138,0,0,49.75931232,58.75849361,77,95,1028,29,24,2,0.216715258,0.002915452,0.126453991,29.31
Centinela Hospital Medical Center,30.1,7.4,1.266583229,0,0,40.04255319,56.02036435,66,91,503,47,6,4,0.531620553,0.007905138,0.039132337,32.34
San Gabriel Valley Medical Center,31.1,2.6,9.551102204,0,0,45.95991984,63.77965684,61,92,2389,41,18,6,0.06588334,0.002517835,0.220894741,35.22
Providence Tarzana Medical Center,32.8,2.9,10.14829659,0,0,62.749499,59.26162494,22,100,2531,23,37,3,0.026461295,0.014218009,0.17258559,15.73
Garfield Medical Center,33.5,2,13.46693387,0,0,60.3006012,60.56538015,83,84,3359,39,10,20,0.109821429,0.001488095,0.235427052,28.57
Saint Mary Medical Center – Long Beach,31.1,3.3,6.065081352,0,0,32.21026283,58.20368283,63,97,2411,62,11,1,0.093685514,0.002888981,0.209978241,20.34
Whittier Hospital Medical Center,38.6,2.1,18.26361032,0,0,70.26934097,65.48413344,71,93,3186,45,18,18,0,0.001255099,0.273038656,25.86
Methodist Hospital of Southern California,29.8,6.3,4.295369212,0,0,43.05882353,58.73952887,19,99,1719,8,40,4,0.071678322,0.008158508,0.106673643,23.77
Valley Presbyterian Hospital,36.9,3.2,7.824780976,0,0,41.91739675,60.6165794,66,98,3123,31,50,1,0.141714651,0.008317338,0.216290457,41.6
Los Angeles County/Harbor – UCLA Medical Center,30.8,17,2.095118899,0,0,44.05506884,47.51628215,74,94,828,72,5,6,0.065710872,0.100358423,0.063693182,27.89
Martin Luther King Jr. – Harbor Hospital,15.3,47.6,3.518072289,17.29,1,57.59839357,52.75414865,85,71,436,66,8,0,0.97260274,0.00913242,0.077673965,56.48
Santa Monica – UCLA Medical Center and Orthopedic Hospital,26.3,14.7,6.116232465,0,0,69.96793587,56.10929713,22,99,1520,13,40,4,0.111402359,0.049803408,0.092054763,26.41
Glendale Adventist Medical Center,36.3,7.4,4.892,0,0,42.722,56.34090329,25,100,2442,33,22,2,0.074407195,0.011856092,0.126726277,33.96
Providence Saint John’s Health Center,29.6,14.5,7.090180361,0,0,56.00801603,58.92499284,9,100,1764,4,47,3,0.094403618,0.023742227,0.130385001,26.41
Torrance Memorial Medical Center,35.6,6.9,6.074,0,0,55.534,60.63711911,32,99,3031,11,43,1,0.127099111,0.004939085,0.117225483,27.89
Presbyterian Intercommunity Hospital,26.2,12.3,4.054,0,0,37.416,58.31839828,67,99,2024,19,30,1,0.295017267,0.006906759,0.115993158,25.86
Citrus Valley Medical Center – Queen of the Valley Campus,33.4,4.9,10.66082603,0,0,49.25406758,63.11739262,82,96,4260,54,16,5,0.155670345,0.004226344,0.240839559,30.75
Huntington Memorial Hospital,33.5,8.7,6.808,0,0,61.262,56.9626515,35,99,3412,15,49,2,0.115158637,0.035840188,0.127321994,17.46
Los Angeles County/University of Southern California Medical Center,33.4,23.2,1.946,0,0,57.174,41.35078785,81,95,981,79,4,2,0.489208633,0.097636177,0.050092699,68.27
Hollywood Presbyterian Medical Center,33.4,7.3,9.068836045,2.32,1,38.4330413,61.88733994,68,94,3621,62,9,3,0.08114822,0.001656086,0.25244236,54.85
Saint Francis Medical Center,36.4,4.6,12.47809762,6.3,1,57.18397997,58.75674817,86,89,4980,68,6,4,0.126980943,0.00220662,0.238783104,42.1
Antelope Valley Hospital,35.2,5.1,13.0387985,0,0,59.0212766,62.0300906,47,99,5181,48,25,1,0.029948167,0.001727779,0.238305272,28.72
Providence Little Company of Mary Medical Center – Torrance,28.8,15.1,6.605757196,0,0,52.48560701,59.81373792,37,99,2635,20,33,4,0.076544146,0.007199697,0.134204502,15.87
Kaiser Foundation Hospital – West Los Angeles,26.1,22.4,7.615230461,0,0,41.94388778,63.04472477,53,95,1903,13,55,2,0.093684211,0.019473684,0.192833254,27.88
Providence Holy Cross Medical Center,31.4,9.7,8.956195244,0,0,51.62202753,59.85338508,62,99,3572,39,26,3,0.005310229,0.006987144,0.195703826,19.03
Los Angeles County/Olive View – UCLA Medical Center,27.3,41.3,1.649561952,0,0,27.82978723,51.67517007,76,96,658,79,2,2,0.705614568,0.031866464,0.079510703,36.66
Kaiser Foundation Hospital – Sunset,31.6,21.3,6.811013767,2.32,1,64.4931164,50.64577599,50,99,2722,10,54,2,0.137449467,0.135611907,0.11333204,54.85
Kaiser Foundation Hospital – Woodland Hills,23,26.1,6.75751503,0,0,44.47695391,58.06974858,22,99,1686,5,46,4,0.116844603,0.006524318,0.158781653,15.73
Kaiser Foundation Hospital – Baldwin Park,29.4,15.9,11.86773547,0,0,57.07014028,61.44392162,69,97,2966,9,57,1,0.088821344,0.002026342,0.220380645,38.23
Kaiser Foundation Hospital – South Bay,27.3,22.5,6.242803504,0,0,33.20901126,63.78231703,54,97,2496,10,58,1,0.081395349,0.004410585,0.196577975,27.89
Good Samaritan Hospital – Los Angeles,28.1,17,7.441802253,0,0,35.46683354,60.57739818,70,96,2973,39,33,1,0.206861756,0.00571813,0.217375962,68.27
Ronald Reagan UCLA Medical Center,24,34,4.976220275,0,0,62.57071339,51.27356798,30,99,1983,20,43,5,0.166498994,0.261569416,0.086610393,25.37
Kaiser Foundation Hospital – Panorama City,23.7,26.4,9.531062124,0,0,44.79358717,61.22942019,49,98,2376,10,55,5,0.06097561,0.005466779,0.222351467,41.6
Pomona Valley Hospital Medical Center,30.3,7.2,17.76971214,0,0,71.52190238,63.47756074,60,99,7122,57,14,5,0.108606846,0.005916326,0.270465124,20.34
California Hospital Medical Center – Los Angeles,27.3,18,9.414267835,0,0,52.28785982,59.49054272,89,90,3785,80,5,1,0.102898165,0.004254188,0.21001484,68.27
Cedars Sinai Medical Center,28.1,14.9,13.482,0,0,109.86,56.20179542,18,100,6736,12,46,1,0.07862335,0.032042724,0.13058438,29.42
Kaiser Foundation Hospital – Downey,25.5,20.7,10.38798498,0,0,52.67334168,60.54745046,75,97,4152,12,58,1,0.036626506,0.014457831,0.211661835,29.31
White Memorial Medical Center,29.7,23.1,9.594493116,0,0,50.7008761,58.4506116,87,94,3832,61,9,3,0.100182625,0.024523872,0.207356208,68.27
Earl and Loraine Miller Children’s Hospital,28.6,16.9,15.42177722,0,0,52.03754693,65.17870027,68,96,6159,66,32,1,0.148514851,0.041227074,0.339554572,30.72
Madera Community Hospital,29.4,3.9,8.321285141,1.32,1,37.59839357,62.25165563,74,93,1034,66,10,1,0,0.000965251,0.233710746,50.46
Marin General Hospital,19.4,27.6,5.358717435,0,0,38.23647295,54.71441082,19,100,1335,28,28,1,0.16828721,0.005235602,0.146645702,12.11
Mendocino Coast District Hospital,21.4,0,4.4,0.37,1,38.72,59.15492958,10,98,110,28,12,1,0,0,0.127066116,44.02
Ukiah Valley Medical Center,23.8,17,10.75167785,0,0,56.38926174,60.56203858,21,99,798,45,18,1,0.033707865,0.001248439,0.200904547,43.8
Memorial Hospital Los Banos,31.9,1,26.88,1.8,1,92.28,66.18985696,72,87,672,64,12,2,0,0,0.301257044,42.53
Mercy Medical Center – Merced,32.4,2.4,15.47277937,2.4,1,82.97994269,62.77720207,51,99,2696,47,17,1,0,0.000740741,0.203038674,46.55
Mammoth Hospital,27.1,0,3.68,0,0,30.08,50.66489362,21,94,92,32,46,1,0,0,0.119680851,38.44
George L. Mee Memorial Hospital,22.8,0,4.765100671,0.61,1,16.67114094,65.47352722,85,71,355,67,12,2,0,0.002816901,0.305152979,51.94
Salinas Valley Memorial Hospital,27.1,1,7.298597194,0,0,47.5991984,59.09856782,64,98,1822,32,30,1,0.126304228,0.007138935,0.166807006,47.68
Community Hospital of The Monterey Peninsula,25.1,2.6,4.709418838,0,0,47.44288577,56.79580819,15,100,1166,18,28,1,0.242553191,0.008510638,0.103995945,24.08
Natividad Medical Center,23.5,30.2,13.47851003,0,0,56.252149,56.75306958,80,96,2352,67,13,1,0.136904762,0.00297619,0.260798696,47.68
Saint Helena Hospital,28.1,3,1.260744986,0,0,30.15472779,49.94167639,10,100,220,23,22,0,0,0.027272727,0.044849867,19.02
Queen of the Valley Medical Center,27.8,29.5,2.513026052,0,0,27.20240481,52.35302532,21,99,628,25,19,2,0.277511962,0.014354067,0.112715485,31.3
Tahoe Forest Hospital,21.5,3.2,4.791946309,0.27,1,27.39597315,57.33397038,16,99,357,28,38,4,0,0.00280112,0.182753552,23.99
Sierra Nevada Memorial Hospital,20.4,2.5,3.78313253,0,0,41.02008032,56.62815743,3,100,475,26,16,1,0,0.002123142,0.101429411,24.24
South Coast Global Medical Center,47.8,0,6.464183381,1.49,1,23.65616046,63.89443336,80,87,1127,56,6,18,0,0.000886525,0.287306202,46.44
Orange Coast Memorial Medical Center,28.3,0.6,6.304609218,0,0,49.8757515,59.77981356,27,99,1574,18,40,2,0.117609663,0.009535919,0.133076181,17.64
La Palma Intercommunity Hospital,32.3,2.9,2.289156627,0,0,27.03614458,57.17520521,43,92,286,30,6,5,0,0,0.094177065,31.68
Anaheim Global Medical Center,28.3,4.9,5.106017192,0,0,19.06590258,53.42637323,52,96,890,58,7,3,0.197530864,0.001122334,0.296663661,49.38
AHMC Anaheim Regional Medical Center,28,3.9,4.829659319,0,0,48.14428858,56.46490717,49,98,1199,43,20,2,0.189211618,0.008298755,0.114385614,49.38
Garden Grove Hospital and Medical Center,34.8,2.6,8.544412607,2.49,1,39.22063037,61.41145529,68,91,1486,46,5,21,0.142186452,0,0.227936879,38.01
Orange County Global Medical Center,36.5,4.2,7.631262525,0,0,41.31863727,56.20331749,64,97,1904,56,16,2,0.118172269,0.00262605,0.19924338,30.03
Los Alamitos Medical Center,24.6,10.7,6.492836676,0,0,60.26361032,59.35258415,23,99,1133,15,36,0,0,0.00353045,0.110973754,16.99
Saint Jude Medical Center,23.2,15.1,6.037546934,0,0,42.44806008,58.68134362,21,100,2409,15,38,2,0.048092869,0.007462687,0.147482014,29.72
Mission Hospital Regional Medical Center,30.7,12.3,6.655819775,0,0,47.26658323,58.01720564,14,100,2656,23,33,2,0,0.010530275,0.145527723,12.88
Fountain Valley Regional Hospital and Medical Center – Euclid,33.4,9.6,15.62725451,0,0,87.66733467,58.74822841,50,97,3889,39,16,17,0.105155168,0.006155424,0.18205093,17.64
UC Irvine Medical Center,28.7,30,4.740926158,2.49,1,52.26032541,52.79172034,44,99,1891,42,26,1,0.029567054,0.032206969,0.11121755,38.01
Hoag Memorial Hospital Presbyterian,30.8,11,16.57321652,0,0,87.75969962,58.57460406,13,100,6624,12,49,4,0.041383477,0.006947591,0.197233314,31.99
Saddleback Memorial Medical Center,25.4,29.1,10.85370741,0,0,63.78356713,61.42147929,12,100,2711,6,47,1,0.082717873,0.006277696,0.177390976,22.57
Saint Joseph Hospital – Orange,30.2,18,12.0175219,0,0,60.01001252,61.22544434,43,100,4799,30,35,1,0,0.007081858,0.210186035,30.03
Kaiser Foundation Hospital – Orange County – Anaheim,27.4,20.5,25.72344689,0,0,125.0621242,60.94606288,34,100,6410,9,62,1,0.009192895,0.017139296,0.223343909,15.72
Sutter Roseville Medical Center,25.7,14.9,6.493116395,0,0,53.87484355,58.16674793,11,100,2601,17,32,2,0,0.005011565,0.127305673,11.35
Kaiser Foundation Hospital – Roseville,23.4,26.8,14.70337922,0,0,63.96996245,62.1492584,15,100,5867,12,57,1,0,0.015321757,0.244795743,11.35
Plumas District Hospital,31.8,8.3,2.96,0,0,22,62,5,98,75,35,17,1,0,0,0.138181818,29.7
Palo Verde Hospital,36.6,0,1.986577181,1.17,1,12.02684564,61.71875,46,85,148,43,28,1,0,0,0.205357143,46.27
San Gorgonio Memorial Hospital,25.8,0,4.134228188,0,0,53.97315436,57.10022382,30,98,305,34,21,1,0,0.00974026,0.088783885,33.15
Hemet Valley Medical Center,37.2,0.5,2.690863579,3.56,1,25.8097622,58.05770584,30,99,1072,38,12,1,0,0,0.114149937,44.68
John F. Kennedy Memorial Hospital,35.6,0.3,17.81526104,0,0,73.41365462,62.07877462,78,96,2216,61,21,2,0,0.002254283,0.272866521,57.43
Corona Regional Medical Center – Main,29.8,1,5.1747851,0,0,42.55587393,55.78231293,44,98,898,39,21,4,0,0.005537099,0.135200646,40.62
Loma Linda University Medical Center – Murrieta,23.8,1.8,7.56626506,0,0,71.03614458,55.43871551,23,99,937,18,29,1,0,0.007430998,0.110244233,19.28
Riverside Community Hospital,37,0.8,9.259073842,7.92,1,65.72966208,57.71459064,47,99,3697,41,24,2,0.091916734,0.003784807,0.150767356,50.54
Parkview Community Hospital Medical Center,33.5,1.5,12.75644699,0,0,63.02578797,63.52064012,54,98,2226,49,22,2,0.102425876,0.000449236,0.209492635,45.18
Kaiser Foundation Hospital – Moreno Valley,24.8,13.5,17.87919463,0,0,73.42281879,63.71115174,50,96,1329,14,55,2,0,0.000750751,0.257221207,33.15
Riverside University Health System – Medical Center,26.1,16.5,3.617021277,0,0,39.65707134,50.11840236,62,98,1434,59,6,4,0.348788927,0.017301038,0.1102064,33.15
Southwest Healthcare System – Murrieta,22.4,10.6,28.562249,0,0,156.4417671,62.12969143,28,100,3536,34,30,2,0,0.003093363,0.191713303,26.1
Desert Regional Medical Center,23.6,11.7,7.982478098,0,0,54.04505632,53.84345846,37,100,3185,35,25,1,0.145813735,0.005330825,0.158075124,41.78
Kaiser Foundation Hospital – Riverside,26.6,13.6,13.14228457,0,0,55.10220441,62.87647316,40,99,3277,11,61,1,0.153095456,0.003964623,0.247235962,40.62
Methodist Hospital of Sacramento,29.2,3.7,4.380475594,0,0,29.04130163,61.6503268,33,98,1745,45,18,1,0.089142857,0.001714286,0.162299604,30.41
Mercy Hospital of Folsom,23.4,13.7,6.698795181,0,0,61.11646586,58.54908661,7,100,833,15,39,1,0,0.003597122,0.115521093,14.59
Mercy General Hospital,28.4,14.5,2.440550688,0,0,37.8873592,52.12261126,19,99,972,29,21,0,0,0.081025641,0.071815539,24.12
Mercy San Juan Hospital,24.4,20.7,4.87359199,0,0,53.11889862,55.55136664,12,100,1943,38,17,1,0.214689266,0.00770416,0.100655012,22.58
UC Davis Medical Center,27.5,25.8,3.22,0,0,63.606,49.43547635,26,100,1599,37,29,0,0.313043478,0.263975155,0.064144892,55.75
Kaiser Foundation Hospital – South Sacramento,22.7,29.8,10.93386774,0,0,67.51503006,58.84238646,30,99,2714,19,46,1,0.113636364,0.008431085,0.176135352,30.41
"Sutter Medical Center, Sacramento",26.8,18.3,13.736,0,0,71.696,59.47333185,28,100,6827,39,26,2,0,0.044408853,0.206873466,24.12
Hazel Hawkins Memorial Hospital,31.5,1.4,3.887550201,2.44,1,21.02008032,62.09031318,54,95,486,41,24,1,0,0.002066116,0.196025984,29.74
Desert Valley Hospital,26.6,0,4.987951807,3.03,1,87.16465863,56.81901954,20,99,617,39,15,1,0,0.004830918,0.065425728,41.67
Montclair Hospital Medical Center,37.2,0.5,8.779116466,0,0,37.18072289,64.78721106,68,87,1089,42,7,31,0,0,0.249513934,43.91
Barstow Community Hospital,31.5,2,13.16,0.13,1,107.44,58.33953835,30,97,329,43,15,1,0,0,0.144452718,41.49
Hi-Desert Medical Center,29.6,1.7,2.435530086,5.17,1,16.07449857,61.08001317,11,99,424,45,28,1,0,0,0.16684492,41.3
San Antonio Regional Hospital,34.3,0.7,5.391739675,0,0,44.41051314,58.3361515,40,99,2144,16,39,3,0.136025998,0.008820799,0.125070454,43.91
Redlands Community Hospital,24.5,0.7,9.783567134,0,0,51.26653307,62.44667775,32,99,2434,29,33,1,0.065137239,0.002458009,0.202173403,23.19
Victor Valley Global Medical Center,37.9,1.3,6.248995984,3.03,1,52.86746988,63.96232148,45,98,774,55,18,1,0.065552699,0.002570694,0.209966576,41.67
Community Hospital of San Bernardino,36.1,1.9,4.768460576,0,0,21.7747184,56.17073925,67,97,1900,76,6,1,0.133858268,0.001574803,0.250143695,56.86
Saint Mary Medical Center – Apple Valley,24.3,3.5,9.274549098,7.62,1,67.49498998,59.07957245,33,99,2308,43,17,2,0.078219533,0.001296456,0.149049881,38.84
Saint Bernardine Medical Center,21.5,16.1,3.584480601,0,0,38.21276596,57.27951776,51,99,1437,46,17,1,0.215782123,0.012569832,0.107428272,53.12
Arrowhead Regional Medical Center,29.9,8.4,8.615769712,0,0,53.67209011,52.44163039,67,98,3445,81,4,2,0.078733295,0.005520046,0.175776513,50.04
Kaiser Foundation Hospital – Fontana,26.6,14.9,16.84605757,0,0,92.07008761,59.02071665,51,99,6715,15,54,2,0.059435364,0.017533432,0.192295144,50.04
Loma Linda University Children's Hospital,28.7,27.7,7.376720901,0,0,39.65957447,57.58015653,64,98,2936,62,28,3,0.048523923,0.235493722,0.212004544,27.33
Paradise Valley Hospital,34.1,0.8,3.755511022,0,0,24.65330661,49.32222019,51,98,938,43,7,14,0.147278549,0,0.162087465,49.92
Sharp Chula Vista Medical Center,34.5,4.5,7.083854819,0,0,44.07008761,59.60951134,72,96,2819,42,16,4,0.090106007,0.001766784,0.176303533,22.79
Pomerado Hospital,26.7,17.7,4.773547094,0,0,27.85170341,62.35046668,12,99,1189,16,37,1,0.099076406,0.001679261,0.175708735,11.31
Scripps Mercy Hospital,23.7,12.7,9.116395494,0,0,81.6020025,53.49768965,52,99,3622,38,18,4,0.123833059,0.005216914,0.120705521,23.78
Tri-City Medical Center – Oceanside,25.9,14.8,6.415519399,0,0,39.50938673,56.40242076,37,99,2559,43,13,1,0.188451034,0.003121342,0.174036999,37.1
Scripps Memorial Hospital – La Jolla,32.7,10.9,8.653316646,0,0,51.94743429,58.48311088,12,100,3449,7,52,1,0,0.017934625,0.171348721,17.86
Scripps Memorial Hospital – Encinitas,23.5,23.5,11.70200573,0,0,76.19484241,60.04046535,15,100,2038,10,41,1,0,0.00489716,0.159596871,34.33
Palomar Health Downtown Campus,28.4,14.5,12.0240481,0,0,103.9719439,55.36848907,29,100,2998,27,30,1,0.021,0.006333333,0.123318299,47.76
Grossmont Hospital,27.7,14.7,7.462,0,0,58.48,57.4276943,25,100,3718,43,14,1,0.097560976,0.003752345,0.135636115,33.05
